track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Scary Ambient Music,Elijah Ages,Horror Peaceful Halloween Party,2017-10-04,28HTOOtto8niTE5i5Pe6wo,https://open.spotify.com/track/28HTOOtto8niTE5i5Pe6wo,shadowy suspenseful enigmatic
Shadows,Ambient Realms,"Massive Ambient Music, Vol. 2",2015-02-23,7J1lHQVoRXbVkZvpybU4D3,https://open.spotify.com/track/7J1lHQVoRXbVkZvpybU4D3,shadowy suspenseful enigmatic
Emotional Ambient Piano,OlexandrMusic,Emotional Ambient Piano,2022-07-08,1F7dGf03Hpf7qkfjQINjSS,https://open.spotify.com/track/1F7dGf03Hpf7qkfjQINjSS,shadowy suspenseful enigmatic
Mystery Background,Petar Milinkovic,"Mystery Music, Set 13",2021-11-09,5RqBOeV9enFqfLwXUV0nIZ,https://open.spotify.com/track/5RqBOeV9enFqfLwXUV0nIZ,shadowy suspenseful enigmatic
Rainy Ambience: Evil Lurks,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,7q0I71nvMW93gmnB68oBLU,https://open.spotify.com/track/7q0I71nvMW93gmnB68oBLU,shadowy suspenseful enigmatic
Scary Ambient Music,Jane Maitri,Scary Halloween Music,2017-10-06,0bA4Yw9F1qVTGBsTxsaME0,https://open.spotify.com/track/0bA4Yw9F1qVTGBsTxsaME0,shadowy suspenseful enigmatic
Gothic Style,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",2020-01-13,7bdKDW2FlULw5lveXzESjp,https://open.spotify.com/track/7bdKDW2FlULw5lveXzESjp,shadowy suspenseful enigmatic
Dark Forest,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,5LYl1xi3941tugJr1GML1Y,https://open.spotify.com/track/5LYl1xi3941tugJr1GML1Y,shadowy suspenseful enigmatic
Atmosphere study ambient focus with rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,2023-10-20,42wnR8ezH8KXQDmoDnXxXx,https://open.spotify.com/track/42wnR8ezH8KXQDmoDnXxXx,shadowy suspenseful enigmatic
Dark Forest Motion,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,3xSc6QM5pnd34AfZTKJnMx,https://open.spotify.com/track/3xSc6QM5pnd34AfZTKJnMx,shadowy suspenseful enigmatic
Night Mist,Ambient Realms,"Massive Ambient Music, Vol. 2",2015-02-23,34VCGiNAXRZP4LCX1R5t0u,https://open.spotify.com/track/34VCGiNAXRZP4LCX1R5t0u,shadowy suspenseful enigmatic
Ghost Forest,Ambient Realms,"Massive Ambient Music, Vol.3",2016-01-14,1KHME5RoijB0wgre1LJfpI,https://open.spotify.com/track/1KHME5RoijB0wgre1LJfpI,shadowy suspenseful enigmatic
Ambience: Spooky Forest,Sound Collective,98 Scary Sounds,2011-08-23,48zBAS5eTHhbpbzhsysfrr,https://open.spotify.com/track/48zBAS5eTHhbpbzhsysfrr,shadowy suspenseful enigmatic
Haunted Crypt,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,6nlXozVgHrDOr25F4OwYJX,https://open.spotify.com/track/6nlXozVgHrDOr25F4OwYJX,shadowy suspenseful enigmatic
Melancholic Moment - Strings Version,Slow Rising Hope,Two Trios (Strings Version),2022-01-08,3tApqv72ZIdIItTnXT5woL,https://open.spotify.com/track/3tApqv72ZIdIItTnXT5woL,shadowy suspenseful enigmatic
Magic Forest,Moonlynx,"Fantasy Ambient, Vol. 1",2022-06-17,2KCzK97irsOOq2395FoiJL,https://open.spotify.com/track/2KCzK97irsOOq2395FoiJL,shadowy suspenseful enigmatic
The Empty Chapel,Atrium Carceri,Codex,2018-09-20,0OfWE2c2dRDsCwCkzOBJT2,https://open.spotify.com/track/0OfWE2c2dRDsCwCkzOBJT2,shadowy suspenseful enigmatic
Shadow Arr. For Two Cellos,Nature Dreams,Shadow Arr. For Two Cellos,2023-12-07,36u6Vpq9yqkFXMgocQfZmh,https://open.spotify.com/track/36u6Vpq9yqkFXMgocQfZmh,shadowy suspenseful enigmatic
Mysteries Unfold,The Ambientalist,Mysteries Unfold,2019-03-29,17hx5JGBKT2cXa0Wr4pB4O,https://open.spotify.com/track/17hx5JGBKT2cXa0Wr4pB4O,shadowy suspenseful enigmatic
Immemorial,Apocryphos,Onyx,2015-09-22,6N5cVdUFPXwrFdlAjlsRwA,https://open.spotify.com/track/6N5cVdUFPXwrFdlAjlsRwA,shadowy suspenseful enigmatic
Ambient Suspenseful Background (Original Motion Picture Soundtrack),Acoustic Instrumental Vibes,Ambient Suspenseful Background (Original Motion Picture Soundtrack),2022-10-18,1M6GOFvY9YviLMRlTUZm1V,https://open.spotify.com/track/1M6GOFvY9YviLMRlTUZm1V,shadowy suspenseful enigmatic
Experimental Dark Ambient Cellos,Rafael Krux,Experimental Dark Ambient Cellos,2022-08-10,761F82V78gykTirxID9OMJ,https://open.spotify.com/track/761F82V78gykTirxID9OMJ,shadowy suspenseful enigmatic
Ambient Emotional Cinematic,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,3iRW391RwTm8QN9jSqjwmQ,https://open.spotify.com/track/3iRW391RwTm8QN9jSqjwmQ,shadowy suspenseful enigmatic
Mysterious Swamp Lands,Ambient Realms,"Massive Ambient Music, Vol.3",2016-01-14,4kL7dtu4jDTsiG2WB5VaEg,https://open.spotify.com/track/4kL7dtu4jDTsiG2WB5VaEg,shadowy suspenseful enigmatic
"Dark Depths (ambient, suspense, exploration)",Tabletop Rpg Music,Tabletop RPG Music: Volume 4,2021-06-14,4ckWNjA9acojSBFoddwVsD,https://open.spotify.com/track/4ckWNjA9acojSBFoddwVsD,shadowy suspenseful enigmatic
Enchanted Forest,Ambient Realms,"Massive Ambient Music, Vol. 4",2016-08-18,4Sy1qiDuiDIiS46x8YrEAS,https://open.spotify.com/track/4Sy1qiDuiDIiS46x8YrEAS,shadowy suspenseful enigmatic
Creepy Ambient: Raven’s Hollow,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,0pyArTypZCbNvXmZmN2PwE,https://open.spotify.com/track/0pyArTypZCbNvXmZmN2PwE,shadowy suspenseful enigmatic
"Enchanted Lands, Vol. I",The Guild of Ambience,"Enchanted Lands, Vol. I",2017-01-03,7y1Tcd50q87U8bIOA9Stda,https://open.spotify.com/track/7y1Tcd50q87U8bIOA9Stda,shadowy suspenseful enigmatic
Spark,Gothic Storm,Enigma - Emotional Chamber Thrillers,2020-03-08,0GlnDuz2qbsjwitUp7UXrq,https://open.spotify.com/track/0GlnDuz2qbsjwitUp7UXrq,shadowy suspenseful enigmatic
Background Ambient Atmospheres,Maksym Tkhoryk,Chill Ambient,2022-06-07,7H3VqadkTZT1zqKGS9tj8b,https://open.spotify.com/track/7H3VqadkTZT1zqKGS9tj8b,shadowy suspenseful enigmatic
Darkness Falls: Horror Ambient,Horror Music Collection,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,59EcWQqZEFyAK68Mz4AQZF,https://open.spotify.com/track/59EcWQqZEFyAK68Mz4AQZF,shadowy suspenseful enigmatic
Ominous,Philip Ayers,Judgement Calling,2017-07-07,7AsN57t78mEhVrLymR5M4o,https://open.spotify.com/track/7AsN57t78mEhVrLymR5M4o,shadowy suspenseful enigmatic
Creepy Ambiance 2,Rik Schaffer,Vampire: The Masquerade - Bloodlines (Original Soundtrack),2019-10-25,4j2nVMByR6yY7OhdJkrIQs,https://open.spotify.com/track/4j2nVMByR6yY7OhdJkrIQs,shadowy suspenseful enigmatic
Macabre Night,Gothic Storm,Enigma Part 2 - Deeper Cello Investigations,2022-01-27,5iIDysEJs71NVZwxxDSBYk,https://open.spotify.com/track/5iIDysEJs71NVZwxxDSBYk,shadowy suspenseful enigmatic
Bittersweet Epilogue,Gothic Storm,Enigma - Emotional Chamber Thrillers,2020-03-08,7AKOQaTbq8rL6qK7k5QBUV,https://open.spotify.com/track/7AKOQaTbq8rL6qK7k5QBUV,shadowy suspenseful enigmatic
Nightmare Trilogy,Aaron Marshall,Noir Ambiance,2007-01-23,7FIGB9wOs960qoe6zbbg9y,https://open.spotify.com/track/7FIGB9wOs960qoe6zbbg9y,shadowy suspenseful enigmatic
Quiet Halls,Elemental SoundWorks,Nocturnes and Mysteries,2022-01-30,4F28d6mkovwEZZUTzw1L3N,https://open.spotify.com/track/4F28d6mkovwEZZUTzw1L3N,shadowy suspenseful enigmatic
Ancient Tomb,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,11MECteG3npGSYn30Kmj6d,https://open.spotify.com/track/11MECteG3npGSYn30Kmj6d,shadowy suspenseful enigmatic
The Crypt,Ambient Realms,"Massive Ambient Music, Vol. 2",2015-02-23,2fSDq6j41lgcJN3UDrr7Ki,https://open.spotify.com/track/2fSDq6j41lgcJN3UDrr7Ki,shadowy suspenseful enigmatic
Dark Attraction,Gothic Storm,Enigma Part 2 - Deeper Cello Investigations,2022-01-27,12tdvn2zUxXPvbondA0jVm,https://open.spotify.com/track/12tdvn2zUxXPvbondA0jVm,shadowy suspenseful enigmatic
Ambient Instrumental Theme,Ambient Sound Center,"Dramatic Ambient - Gothic Dark Fantasy Ambient, Sad & Somber Background",2019-06-11,6jX3ZxbLz7mHzY7GMVa6LG,https://open.spotify.com/track/6jX3ZxbLz7mHzY7GMVa6LG,shadowy suspenseful enigmatic
Dark Ambient,Background Music Attention,"Gothic, Atmospheric, Dark Ambient",2020-01-13,7k4XRuYWSKR9aNVbV9dCh4,https://open.spotify.com/track/7k4XRuYWSKR9aNVbV9dCh4,shadowy suspenseful enigmatic
Mysterious Forest Sounds | Fantasy Nature Ambience,The Guild of Ambience,Mysterious Forest Sounds | Fantasy Nature Ambience,2021-06-23,6VbGT6OMjgyK75Vh6dKeOd,https://open.spotify.com/track/6VbGT6OMjgyK75Vh6dKeOd,shadowy suspenseful enigmatic
