track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Ambient Cinematic Score,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,5k8NwGYULYO9qGVWAzjFPu,https://open.spotify.com/track/5k8NwGYULYO9qGVWAzjFPu,intimate dreamy tender
Ambient Instrumental Fall Studying and soft rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,2023-10-20,2AE0pBQ7UqrbIDZIYCTgId,https://open.spotify.com/track/2AE0pBQ7UqrbIDZIYCTgId,intimate dreamy tender
Cinematic Ambient Corporate Inspiring Emotional,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,009zm4nS6Bl2GtHt2iitDA,https://open.spotify.com/track/009zm4nS6Bl2GtHt2iitDA,intimate dreamy tender
Ambient Emotional Cinematic,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,3iRW391RwTm8QN9jSqjwmQ,https://open.spotify.com/track/3iRW391RwTm8QN9jSqjwmQ,intimate dreamy tender
Ambient LoFi,Lofi Sleep Chill & Study,LoFi Jazz,2020-12-31,0REQukhXtI8fyNtTW2paCP,https://open.spotify.com/track/0REQukhXtI8fyNtTW2paCP,intimate dreamy tender
Ambient Focus,Sleep Fruits Music,"Relaxing Sleep Music, Vol.1",2021-02-05,5YAJ3TmXu9yFAmyLf5912C,https://open.spotify.com/track/5YAJ3TmXu9yFAmyLf5912C,intimate dreamy tender
Ambient LoFi,Lofi Sleep Chill & Study,LoFi Music,2020-12-10,3SmMRDAfufmUz06SyLQnd3,https://open.spotify.com/track/3SmMRDAfufmUz06SyLQnd3,intimate dreamy tender
Ambient Focus Sleep Study in soft rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,2023-10-20,34LmOtH6OgMGf1djOVgK2c,https://open.spotify.com/track/34LmOtH6OgMGf1djOVgK2c,intimate dreamy tender
Calm Study Ambience,Lofi Fruits Music,Lofi Fruits Music 2021,2021-06-09,1MMDusHVki3qCmVK5TfZb6,https://open.spotify.com/track/1MMDusHVki3qCmVK5TfZb6,intimate dreamy tender
Ambient Sleep Music,Baby Lullaby,"Baby Lullaby - Baby Lullabies for Sleep Music, Relaxing Piano, Baby Sleep, Natural Sleep Aid, Newborn Baby Lullabies",2012-05-28,0cw19hlkxIEF7U9HAcgAxJ,https://open.spotify.com/track/0cw19hlkxIEF7U9HAcgAxJ,intimate dreamy tender
Peaceful Journey,V.Ambience,Peaceful Journey,2021-05-28,2zraUVLKH0miY90eoM26Rd,https://open.spotify.com/track/2zraUVLKH0miY90eoM26Rd,intimate dreamy tender
"Calm Background Ambience, Pt. 39",Sleep Fruits Music,"Sleep Fruits Session, Vol. 2",2022-05-23,6kbK2KFkn7Yom9JfDPzOvD,https://open.spotify.com/track/6kbK2KFkn7Yom9JfDPzOvD,intimate dreamy tender
