track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Ambient Minimal Corporate,DensoMusic,Ambient Corporate Background,2021-03-21,4J0Pf9H6mBoSjuAqN3y9Pl,https://open.spotify.com/track/4J0Pf9H6mBoSjuAqN3y9Pl,scholarly contemplative minimalist
"Calm Background Ambience, Pt. 39",Sleep Fruits Music,"Sleep Fruits Session, Vol. 2",2022-05-23,6kbK2KFkn7Yom9JfDPzOvD,https://open.spotify.com/track/6kbK2KFkn7Yom9JfDPzOvD,scholarly contemplative minimalist
Ambient Focus,Sleep Fruits Music,"Relaxing Sleep Music, Vol.1",2021-02-05,5YAJ3TmXu9yFAmyLf5912C,https://open.spotify.com/track/5YAJ3TmXu9yFAmyLf5912C,scholarly contemplative minimalist
Ambient Instrumental Fall Studying and soft rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,2023-10-20,2AE0pBQ7UqrbIDZIYCTgId,https://open.spotify.com/track/2AE0pBQ7UqrbIDZIYCTgId,scholarly contemplative minimalist
Serene Awakening,Ambientalism,Blissful Serenades,2021-07-07,68xLHUVQwyMAeo68Rqk0cy,https://open.spotify.com/track/68xLHUVQwyMAeo68Rqk0cy,scholarly contemplative minimalist
Ambient Corporate Inspiration,DensoMusic,Ambient Soft Corporate Collection,2022-04-25,51c9dDzSD2xngyJfDGyVW1,https://open.spotify.com/track/51c9dDzSD2xngyJfDGyVW1,scholarly contemplative minimalist
Rooms,Ambient Endeavors,Drifting,2021-10-22,3YD48876NO83X2Mt4nUbTo,https://open.spotify.com/track/3YD48876NO83X2Mt4nUbTo,scholarly contemplative minimalist
Inspiring Dense Cheerful Minimal,DepasRec,Inspiring Dense Cheerful Minimal,2019-05-15,5r0ccKtGnuKE7vHAw2tha8,https://open.spotify.com/track/5r0ccKtGnuKE7vHAw2tha8,scholarly contemplative minimalist
Condescension I,Blank Embrace,Natural Light,2017-06-07,1CfbIF6BEXJb4m9IFvF8Cm,https://open.spotify.com/track/1CfbIF6BEXJb4m9IFvF8Cm,scholarly contemplative minimalist
Background Ambient Atmospheres,Maksym Tkhoryk,Chill Ambient,2022-06-07,7H3VqadkTZT1zqKGS9tj8b,https://open.spotify.com/track/7H3VqadkTZT1zqKGS9tj8b,scholarly contemplative minimalist
Emotional Ambient Piano,OlexandrMusic,Emotional Ambient Piano,2022-07-08,1F7dGf03Hpf7qkfjQINjSS,https://open.spotify.com/track/1F7dGf03Hpf7qkfjQINjSS,scholarly contemplative minimalist
Ambient Sleep Music,Baby Lullaby,"Baby Lullaby - Baby Lullabies for Sleep Music, Relaxing Piano, Baby Sleep, Natural Sleep Aid, Newborn Baby Lullabies",2012-05-28,0cw19hlkxIEF7U9HAcgAxJ,https://open.spotify.com/track/0cw19hlkxIEF7U9HAcgAxJ,scholarly contemplative minimalist
Lights,Ambient Skies,Summer,2020-06-03,5Q600SVuyoaJKMmqEhTMd2,https://open.spotify.com/track/5Q600SVuyoaJKMmqEhTMd2,scholarly contemplative minimalist
